                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4582,                 3.5055,                 1.2237,                 0.0137,                0.16405,                0.11088,                0.08497,                  1.289,                 4.1559,                 1.1307,             0.00029561,             0.00029561,             0.00029561
                      2,                 1.4196,                 2.3247,                 1.1918,                0.86484,                0.07577,                 0.2322,                0.12788,                 1.4241,                 3.4316,                 1.2063,             0.00059071,             0.00059071,             0.00059071
                      3,                 1.4119,                 2.1332,                 1.1837,                0.57874,                0.24282,                0.24611,                0.15658,                 1.4408,                 2.7457,                 1.1816,             0.00087781,             0.00087781,             0.00087781
                      4,                 1.3851,                 2.0062,                 1.1798,                0.52144,                0.34947,                0.30747,                0.18809,                 1.4505,                   2.32,                 1.2001,               0.000873,               0.000873,               0.000873
                      5,                 1.3694,                 1.8803,                 1.1744,                 0.6895,                0.24143,                0.27653,                0.17599,                 1.4351,                 2.1481,                 1.2467,               0.000873,               0.000873,               0.000873
                      6,                 1.3838,                   1.82,                 1.1665,                0.54707,                0.38484,                0.33148,                0.21283,                 1.3985,                 1.9155,                 1.1988,               0.000861,               0.000861,               0.000861
                      7,                 1.3467,                 1.7074,                 1.1555,                0.39486,                0.35169,                0.31327,                0.20762,                 1.3718,                 1.8994,                 1.1589,             0.00084901,             0.00084901,             0.00084901
                      8,                 1.3225,                 1.5485,                 1.1432,                 0.4223,                0.40005,                0.36397,                0.23962,                 1.3021,                 1.7424,                 1.1266,             0.00083701,             0.00083701,             0.00083701
                      9,                 1.3038,                 1.5919,                 1.1348,                0.87236,                0.32789,                0.44276,                0.29498,                 1.3119,                 1.7868,                 1.1251,             0.00082501,             0.00082501,             0.00082501
                     10,                 1.2928,                 1.4358,                 1.1263,                 0.6265,                0.47688,                0.48401,                0.32691,                 1.3338,                 1.6345,                 1.0891,             0.00081301,             0.00081301,             0.00081301
                     11,                 1.2199,                  1.353,                 1.1054,                0.51586,                0.50556,                0.50347,                0.32604,                 1.3019,                  1.535,                 1.0902,             0.00080101,             0.00080101,             0.00080101
                     12,                  1.216,                  1.331,                 1.0998,                0.65979,                0.49444,                  0.539,                0.33352,                 1.2967,                 1.4238,                 1.1058,             0.00078901,             0.00078901,             0.00078901
                     13,                 1.2115,                 1.2155,                 1.1004,                0.46684,                0.53278,                0.52379,                0.32457,                 1.2871,                 1.5098,                 1.0866,             0.00077701,             0.00077701,             0.00077701
                     14,                 1.1944,                 1.2408,                 1.0832,                0.58365,                0.58648,                0.54852,                0.35575,                 1.2582,                 1.4233,                 1.0726,             0.00076501,             0.00076501,             0.00076501
                     15,                 1.1663,                 1.1802,                 1.0791,                0.49871,                0.54001,                0.56247,                0.35649,                 1.2592,                 1.3089,                 1.0623,             0.00075302,             0.00075302,             0.00075302
